student_id,age,gender,country,education_level,course_category,platform,course_duration_weeks,hours_per_week,quiz_scores_avg,assignment_completion_rate,forum_posts,videos_watched_pct,device,internet_speed,previous_courses_completed,financial_aid,course_price_usd,self_motivation_score,time_management_score,learning_disability,employment_status,completion_status,final_grade,satisfaction_rating
1,54,Male,UK,Master's,AI/ML,Codecademy,41,4,29.31,63.41,77,89.18,Mobile,Medium,2,No,124.32,4,3,No,Employed,Completed,F,3.3
2,44,Male,Canada,Bachelor's,Web Development,edX,29,23,14.78,35.73,43,38.44,Laptop,Fast,12,No,155.13,9,1,No,Employed,Completed,F,2.7
3,30,Male,Mexico,Bachelor's,Data Science,LinkedIn Learning,41,27,12.98,49.84,19,8.15,Mobile,Fast,1,Yes,40.85,10,7,No,Employed,Completed,F,2.8
4,23,Male,Brazil,Bachelor's,AI/ML,LinkedIn Learning,36,18,63.46,64.0,55,99.49,Desktop,Medium,12,No,14.99,2,10,No,Student,Completed,D,4.1
5,36,Male,China,Bachelor's,Cloud Computing,Codecademy,5,18,32.8,11.94,22,18.03,Mobile,Slow,20,No,73.08,10,10,No,Employed,Completed,F,3.8
6,54,Female,India,Master's,Cloud Computing,Coursera,39,22,27.5,22.95,59,4.88,Tablet,Fast,14,Yes,141.8,10,10,No,Unemployed,Completed,F,3.2
7,34,Male,Japan,High School,AI/ML,Udemy,26,9,59.21,89.05,70,41.07,Laptop,Medium,7,No,137.22,6,7,Yes,Employed,Completed,F,4.1
8,38,Female,Brazil,PhD,AI/ML,Udemy,39,3,2.57,34.23,44,12.15,Laptop,Medium,11,No,191.02,4,6,No,Unemployed,Dropped,F,1.6
9,26,Male,China,Master's,AI/ML,Codecademy,11,7,24.62,80.12,46,97.87,Mobile,Fast,7,Yes,126.0,8,9,No,Student,In Progress,F,2.6
10,26,Female,Australia,Bachelor's,Cloud Computing,DataCamp,42,26,34.05,25.1,77,38.08,Laptop,Fast,18,No,82.26,4,7,No,Student,Dropped,F,1.3
11,39,Female,Australia,Bachelor's,Data Science,Coursera,11,15,70.84,4.16,36,82.58,Desktop,Slow,8,Yes,159.43,9,5,No,Student,Completed,C,4.4
12,51,Female,Japan,Bachelor's,Cloud Computing,Coursera,18,30,54.5,50.04,7,17.66,Mobile,Medium,9,No,30.61,10,7,No,Employed,Completed,F,3.9
13,55,Female,Canada,High School,Cybersecurity,DataCamp,12,9,85.6,89.25,4,13.88,Laptop,Fast,20,No,162.6,3,10,No,Employed,In Progress,B,3.6
14,39,Male,France,High School,Web Development,Udemy,16,27,33.45,81.93,22,64.93,Laptop,Fast,6,Yes,73.19,7,4,No,Employed,Completed,F,4.0
15,18,Female,France,Master's,Data Science,Udemy,27,29,29.64,25.29,9,90.93,Desktop,Slow,9,No,30.8,5,10,No,Student,Dropped,F,1.8
16,37,Male,Germany,Bachelor's,Data Science,Coursera,36,9,3.32,90.99,26,11.45,Desktop,Fast,2,No,32.43,1,9,No,Employed,Dropped,F,1.3
17,17,Male,Japan,High School,AI/ML,Udemy,17,27,95.17,47.97,98,58.93,Tablet,Medium,1,No,196.72,3,6,No,Employed,Completed,A,4.7
18,39,Female,USA,High School,Digital Marketing,LinkedIn Learning,49,4,50.15,4.9,0,8.49,Laptop,Fast,6,Yes,124.64,9,4,No,Student,In Progress,F,2.9
19,45,Female,Canada,Master's,Web Development,Udemy,21,18,50.25,2.79,70,81.22,Mobile,Fast,9,No,34.85,9,5,No,Student,In Progress,F,3.3
20,53,Male,Brazil,Bachelor's,AI/ML,edX,37,17,92.34,48.51,7,90.93,Laptop,Fast,7,Yes,53.71,5,8,No,Student,In Progress,A,3.9
21,17,Female,France,Master's,Blockchain,Codecademy,31,22,28.99,54.63,10,62.88,Mobile,Fast,11,No,74.42,5,7,No,Student,Completed,F,3.6
22,36,Female,Japan,High School,Web Development,Coursera,45,21,33.21,7.99,97,68.83,Laptop,Fast,19,Yes,11.18,4,6,No,Employed,Completed,F,3.4
23,48,Male,France,Bachelor's,Data Science,Coursera,35,6,65.63,92.22,27,5.54,Desktop,Fast,16,No,21.68,4,2,No,Employed,Dropped,F,1.9
24,27,Male,Nigeria,High School,Web Development,Codecademy,27,7,78.52,71.82,33,7.3,Laptop,Medium,8,No,152.35,4,3,No,Employed,Completed,C,4.9
25,37,Male,Mexico,Bachelor's,Cloud Computing,Pluralsight,23,25,69.93,80.13,42,17.97,Laptop,Fast,19,No,157.37,2,1,No,Student,Completed,D,4.4
26,40,Male,Australia,Bachelor's,Cybersecurity,Udemy,32,10,78.87,58.4,83,27.38,Laptop,Medium,2,Yes,197.65,7,3,No,Student,Dropped,F,2.4
27,42,Male,Nigeria,High School,AI/ML,Udemy,17,10,57.51,66.35,27,75.99,Tablet,Fast,3,No,13.52,3,2,No,Employed,Completed,F,4.5
28,43,Male,China,Bachelor's,UX Design,Udemy,11,27,86.28,38.79,48,43.54,Laptop,Fast,6,No,177.84,1,10,No,Student,Completed,B,5.0
29,31,Male,Japan,Bachelor's,Cloud Computing,LinkedIn Learning,1,6,55.01,67.93,60,7.82,Desktop,Fast,17,Yes,63.44,10,6,No,Student,Completed,F,3.8
30,30,Female,Mexico,Bachelor's,Data Science,Coursera,28,6,22.93,97.82,36,85.26,Desktop,Medium,16,No,65.57,3,4,No,Student,Completed,F,3.4
31,18,Female,Canada,Master's,Cloud Computing,edX,18,29,54.17,64.77,2,99.38,Desktop,Medium,2,Yes,25.46,9,10,No,Employed,Completed,F,4.2
32,52,Non-binary,USA,High School,Data Science,Coursera,49,19,71.29,34.16,8,45.5,Tablet,Fast,2,No,197.26,9,3,No,Employed,Completed,C,4.3
33,22,Male,China,Bachelor's,Cloud Computing,Pluralsight,41,29,65.36,28.52,85,51.18,Desktop,Slow,12,No,196.2,10,8,No,Employed,Completed,D,4.5
34,36,Female,India,PhD,Web Development,Udemy,20,8,24.3,96.33,88,7.85,Mobile,Medium,16,No,172.97,7,5,No,Student,Completed,F,3.5
35,24,Female,France,Master's,Cloud Computing,edX,7,9,4.11,18.5,1,38.3,Laptop,Fast,17,Yes,18.16,1,4,No,Employed,Completed,F,2.7
36,54,Female,USA,PhD,Web Development,Coursera,37,1,25.25,80.62,22,37.18,Mobile,Medium,18,Yes,168.33,6,6,No,Student,Completed,F,3.1
37,33,Male,Brazil,Bachelor's,Mobile Development,Coursera,16,16,98.4,46.53,50,96.58,Laptop,Medium,16,Yes,126.92,10,4,No,Employed,Completed,A,4.4
38,19,Female,Nigeria,Master's,Web Development,LinkedIn Learning,39,6,18.45,44.38,16,66.04,Mobile,Fast,15,No,25.76,1,10,No,Employed,Completed,F,3.3
39,40,Male,Mexico,Bachelor's,Cybersecurity,Pluralsight,45,23,46.44,74.75,24,78.22,Laptop,Slow,15,No,52.35,2,10,No,Student,Completed,F,3.4
40,29,Male,Japan,High School,Web Development,LinkedIn Learning,45,27,63.83,14.8,75,12.83,Laptop,Medium,0,No,137.84,3,5,No,Employed,Completed,D,4.3
41,24,Female,France,Master's,Blockchain,LinkedIn Learning,47,8,87.95,46.63,26,41.69,Desktop,Fast,13,No,160.69,6,4,No,Employed,In Progress,B,3.8
42,41,Female,Nigeria,Bachelor's,Digital Marketing,Coursera,23,15,76.03,3.58,19,19.16,Mobile,Fast,14,No,169.62,7,9,No,Student,In Progress,C,3.2
43,17,Male,Nigeria,High School,Web Development,LinkedIn Learning,32,12,90.9,67.04,72,86.02,Laptop,Fast,3,No,108.77,8,2,No,Employed,Completed,A,5.0
44,35,Female,Japan,High School,Blockchain,Coursera,49,10,60.44,5.84,86,15.24,Desktop,Fast,19,Yes,106.92,9,1,No,Student,Completed,D,4.0
45,43,Female,UK,Master's,AI/ML,Coursera,17,16,86.53,8.73,35,43.89,Laptop,Slow,20,No,136.84,7,7,No,Student,Completed,B,4.3
46,22,Female,Australia,High School,Cloud Computing,Pluralsight,19,15,26.38,84.48,27,5.37,Desktop,Slow,10,Yes,155.54,6,9,No,Student,Completed,F,3.8
47,23,Female,Brazil,High School,Cloud Computing,Codecademy,42,11,43.06,44.3,28,63.43,Laptop,Fast,17,No,34.12,5,9,No,Employed,Completed,F,3.9
48,50,Male,Mexico,Bachelor's,Data Science,LinkedIn Learning,34,24,84.38,20.1,41,48.19,Laptop,Fast,16,No,147.97,10,4,No,Student,Dropped,F,2.8
49,29,Non-binary,Japan,High School,UX Design,Pluralsight,14,7,32.56,59.26,57,49.8,Laptop,Fast,8,No,68.34,2,4,No,Student,In Progress,F,2.8
50,32,Female,India,Master's,Web Development,Skillshare,3,8,87.12,51.93,31,10.16,Tablet,Fast,20,Yes,76.75,8,1,No,Student,Completed,B,5.0
51,51,Male,China,Bachelor's,Web Development,Coursera,39,11,36.31,41.09,11,51.4,Laptop,Fast,13,No,15.54,5,1,No,Student,In Progress,F,3.4
52,55,Female,Brazil,Bachelor's,Mobile Development,DataCamp,25,9,36.34,90.54,29,56.38,Desktop,Fast,2,No,117.68,10,1,Yes,Student,Completed,F,3.6
53,19,Female,Canada,Master's,Cloud Computing,LinkedIn Learning,11,26,30.9,74.95,59,96.28,Desktop,Fast,19,No,18.68,2,6,No,Employed,Completed,F,3.2
54,17,Female,India,Bachelor's,Data Science,Pluralsight,49,7,54.69,15.16,10,3.32,Tablet,Fast,19,No,182.63,3,6,No,Unemployed,Dropped,F,1.5
55,21,Female,China,Bachelor's,Data Science,LinkedIn Learning,15,15,12.91,57.08,100,92.27,Desktop,Fast,3,No,124.19,10,5,No,Employed,Completed,F,3.0
56,19,Female,France,Master's,Cloud Computing,edX,19,15,3.66,8.87,83,47.96,Tablet,Medium,15,Yes,198.06,10,10,No,Employed,Completed,F,3.2
57,44,Female,Germany,Bachelor's,Data Science,LinkedIn Learning,43,16,89.74,24.47,10,21.01,Desktop,Fast,20,Yes,49.13,7,10,No,Employed,Completed,B,4.9
58,33,Female,Australia,High School,Blockchain,Udemy,15,3,92.89,90.99,79,66.55,Laptop,Fast,11,No,135.92,10,2,No,Employed,In Progress,A,3.8
59,41,Female,France,Bachelor's,Cloud Computing,Codecademy,15,16,7.62,46.21,98,51.71,Laptop,Fast,20,Yes,192.89,8,6,No,Student,Completed,F,3.4
60,49,Male,Brazil,Master's,Web Development,Coursera,38,15,54.97,89.21,49,22.68,Desktop,Fast,7,No,59.72,5,1,No,Unemployed,Dropped,F,2.0
61,25,Female,Mexico,Master's,AI/ML,Udemy,15,25,53.97,16.6,0,62.68,Laptop,Fast,8,Yes,19.26,10,3,No,Unemployed,Completed,F,4.1
